 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   1.10.    Time:  14: 4:20
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    2       .25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    3       .50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    4       .75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    5      1.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    6      1.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    7      1.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    8      1.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
    9      2.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   10      2.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   11      2.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   12      2.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   13      3.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   14      3.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   15      3.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   16      3.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   17      4.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   18      4.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   19      4.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   20      4.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   21      5.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   22      5.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   23      5.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   24      5.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   25      6.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   26      6.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   27      6.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   28      6.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   29      7.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   30      7.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   31      7.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   32      7.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   33      8.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   34      8.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   35      8.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   36      8.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   37      9.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   38      9.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   39      9.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   40      9.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   41     10.00      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   42     10.25      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   43     10.50      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
   44     10.75      .000      .633        .0    .271E+00     1.000      .000     1.000     1.000     1.000
end
